grade,user_name,text,date
4,mds27272,"My gf started playing before me. No option to create my own island and guys, being the 2nd player to start on a console SUCKS!!!! You miss out on so much that only the 1st player gets in terms of activities, resources, etc. It's absolutely terrible. You have to buy a 2nd console if more than one person in your household wants to get the full game experience. That's unacceptable.",3/20/20
5,lolo2178,"While the game itself is great, really relaxing and gorgeous, i can't ignore one thing that ruins the whole experience for me and a lot of other people as seen by the different user reviews.That thing is that you only have 1 island per console. This decision limits to one person being able to enjoy the full experience. It also nukes any creative control of the island, since you haveWhile the game itself is great, really relaxing and gorgeous, i can't ignore one thing that ruins the whole experience for me and a lot of other people as seen by the different user reviews.That thing is that you only have 1 island per console. This decision limits to one person being able to enjoy the full experience. It also nukes any creative control of the island, since you have the other usershouse and furniture. I hope nintendo can soon fix this big issue, because for now, this killed any intentions i had to play the game.… Expand",3/20/20
0,Roachant,"My wife and I were looking forward to playing this game when it released. I bought it, I let her play first she made an island and played for a bit. Then I decided to play only to discover that Nintendo only allows one island per switch! Not only that, the second player cannot build anything on the island and tool building is considerably harder to do. So, if you have more than one personMy wife and I were looking forward to playing this game when it released. I bought it, I let her play first she made an island and played for a bit. Then I decided to play only to discover that Nintendo only allows one island per switch! Not only that, the second player cannot build anything on the island and tool building is considerably harder to do. So, if you have more than one person in your home that wants to play the game, you need two switches. Worst decision I have ever seen, this even beats EA.Congratulations Nintendo, you have officially become the worst video game company this year!… Expand",3/20/20
0,Houndf,"We need equal values and opportunities for all players on the island! My wife is the first player, which is great but I do not want to wait for her progress. At the same time, I do not want her to have a a second class player experience if I am the founder. Fix this Nintendo!!",3/20/20
0,ProfessorFox,BEWARE!  If you have multiple people in your house that want to play this game they can not each have their own account (island).  ONLY ONE customizable island can be played per Switch.  Even if you buy two copies of the game you will still only be able to customize ONE island.  I have 3 kids that want to play this game and they each want to customize their own island - AND THEY CANT!BEWARE!  If you have multiple people in your house that want to play this game they can not each have their own account (island).  ONLY ONE customizable island can be played per Switch.  Even if you buy two copies of the game you will still only be able to customize ONE island.  I have 3 kids that want to play this game and they each want to customize their own island - AND THEY CANT!   This is absolutely unacceptable.  Maybe the dumbest thing Nintendo has ever done.  I have owned every Nintendo console since the original NES and I can not think of a worse decision by Nintendo.… Expand,3/20/20
0,tb726,"The limitation of one island per Switch (not per cartridge, per Switch) is nonsensical. It‘s obvious Nintendo is just trying to sell more Switch consoles. This means only one person in your family can enjoy the game to its fullest extent. Player 2 can barely do anything, and their progression is blocked until player 1 progresses further. Player 2 can’t make any administrative decisions.The limitation of one island per Switch (not per cartridge, per Switch) is nonsensical. It‘s obvious Nintendo is just trying to sell more Switch consoles. This means only one person in your family can enjoy the game to its fullest extent. Player 2 can barely do anything, and their progression is blocked until player 1 progresses further. Player 2 can’t make any administrative decisions. Players 1 and 2 have to share limited daily resources. I had to delete my save so my brother could enjoy the game.Sorry but this is an instant 0/10. The Switch is a family-oriented console and this is not a family-oriented game. This is a colossal failure on Nintendo’s part.… Expand",3/20/20
0,Outryder86,"I was very excited for this new installment of the Animal Crossing series. And I wish I could say that all the new bells and whistles and pretty graphics have made it the best ever. But Nintendo made the worst decision they could have possible made for this game.You can only have one island per SWITCH. Not per user profile. Not per Cartridge. Per SWITCH.This game is supposed to beI was very excited for this new installment of the Animal Crossing series. And I wish I could say that all the new bells and whistles and pretty graphics have made it the best ever. But Nintendo made the worst decision they could have possible made for this game.You can only have one island per SWITCH. Not per user profile. Not per Cartridge. Per SWITCH.This game is supposed to be Zen. It's not supposed to be the reason for a spike in domestic homicides. Having to share limited space with multiple family members competing for limited daily resources basically makes this game unplayable if, like a reasonable human, you only have one of these consoles in your family because they already have multiplayer support and you shouldn't need more than one for everyone to enjoy a game.Nintendo needs to patch this, or else refund every person that isn't a single person household with this game.… Expand",3/20/20
0,Subby89,It's 2020 and for some reason Nintendo has decided that only one island is available per Switch console. Meaning my fiancé cannot progress the game beyond what I have done since I started my game first. She cannot place buildings down. She cannot obtain better tools until I've done it myself. Why is she hamstrung? She has to have a lesser experience because of it. This is an utter joke andIt's 2020 and for some reason Nintendo has decided that only one island is available per Switch console. Meaning my fiancé cannot progress the game beyond what I have done since I started my game first. She cannot place buildings down. She cannot obtain better tools until I've done it myself. Why is she hamstrung? She has to have a lesser experience because of it. This is an utter joke and I expect my money back. I'm being pushed into buying a new console just so she can have the full experience. I will NOT be buying a whole new console just for that. This is shameful.… Expand,3/20/20
0,RocketRon,This is so annoying. Only one player has the ability to play this game because only one island. Nintendo doesn't deserve my money anymore.,3/20/20
0,chankills,"I purchased this game for my household (me and my GF) and she started playing the game first. There was no advertisement or clear indication of this but each switch console is limited to one Island and the first person on that Island has a much better gaming experience than anyone else. Anyone else that joins the island cannot build and building, set any mandates, and cannot progress inI purchased this game for my household (me and my GF) and she started playing the game first. There was no advertisement or clear indication of this but each switch console is limited to one Island and the first person on that Island has a much better gaming experience than anyone else. Anyone else that joins the island cannot build and building, set any mandates, and cannot progress in the story (e.g. getting tools) until the owner of the island does. There are also restrictions on what the second player can put in the musuem. There is no reason for there not to be a second game file for each profile on the switch and Ninentdo attempt to push people to buy seperate consoles for this game is extremely greedy. Gameplay is actually great but the severe limitations and no forewarning leads me to post this review to tell people not to buy this game if more than one person will play on the switch.… Expand",3/20/20
1,rafilks182,"they heavily marketed this game as a social experience. a game to share with your friends and family. but heres the catch, you will need 1 nintendo switch for each player to get the full experience. I bought the game to share it with my girlfriend but the first player is considered as the FOUNDER of the island, and he is the one that will progress the story, that will unlock stuff and dothey heavily marketed this game as a social experience. a game to share with your friends and family. but heres the catch, you will need 1 nintendo switch for each player to get the full experience. I bought the game to share it with my girlfriend but the first player is considered as the FOUNDER of the island, and he is the one that will progress the story, that will unlock stuff and do all the cool things. The second nintendo switch profile will act merely as a villager, with little to no impact on the game and not able to progress without the founders progress. Game ruined by greed, want to have the full experience? BUY 2 PHYSICAL COPIES AND 2 NINTENDO SWITCHES, yeah thats what nintendo requires of you to play a social game if you want to be social.… Expand",3/20/20
0,Gravy_Dreamboat,"You can only have one island per Switch. If multiple people play on the same system, you’ll be tied to whoever started the first game’s island. Kinda kills any sort of independence.",3/20/20
